player,fbref_id,fbref_url,window,prior_season,pl_season,prior_league,prior_squads,pl_squads,pos,age_pl,prior_minutes,pl_minutes,minutes_ratio,prior_npxg,pl_npxg,prior_xag,pl_xag,prior_npxg_p90,pl_npxg_p90,prior_xag_p90,pl_xag_p90,prior_npxg_xag_p90,ratio_npxg,ratio_xag,diff_npxg,diff_xag,prior_pkatt,pl_pkatt,dest_big6,talent_split,talent_league_n,talent_league_p25,talent_league_p75,meets_900,meets_450,in_primary,prior_pl_minutes,source
Ibrahim Amadou,9260926b,https://fbref.com/en/players/9260926b/Ibrahim-Amadou,january,2019-20,2019-20,La Liga,Leganés,Norwich City,"DF,MF",26.0,770.0,759.0,0.9857142857142858,0.7,0.8,0.0,0.0,0.0818181818181818,0.09486166007905138,0.0,0.0,0.0818181818181818,1.1594202898550725,,0.013043478260869573,0.0,0.0,0.0,0,,,,,False,True,0,0.0,fbref_wfr_standard
Ignacio Pussetto,62437b4f,https://fbref.com/en/players/62437b4f/Ignacio-Pussetto,january,2019-20,2019-20,Serie A,Udinese,Watford,"FW,MF",23.0,341.0,74.0,0.21700879765395895,0.9,0.0,0.3,0.0,0.2375366568914956,0.0,0.07917888563049853,0.0,0.31671554252199413,0.0,0.0,-0.2375366568914956,-0.07917888563049853,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Jesús Vallejo,c2111b45,https://fbref.com/en/players/c2111b45/Jesus-Vallejo,january,2019-20,2019-20,La Liga,Granada,Wolves,DF,22.0,629.0,163.0,0.2591414944356121,0.2,0.0,0.0,0.0,0.028616852146263912,0.0,0.0,0.0,0.028616852146263912,0.0,,-0.028616852146263912,0.0,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Lukas Rupp,3faa1780,https://fbref.com/en/players/3faa1780/Lukas-Rupp,january,2019-20,2019-20,Bundesliga,Hoffenheim,Norwich City,"FW,MF",28.0,340.0,695.0,2.0441176470588234,0.2,0.9,0.1,0.9,0.052941176470588235,0.11654676258992806,0.026470588235294117,0.11654676258992806,0.07941176470588235,2.2014388489208634,4.402877697841727,0.06360558611933984,0.09007617435463394,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Ondrej Duda,79ca3e23,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,january,2019-20,2019-20,Bundesliga,Hertha BSC,Norwich City,MF,24.0,447.0,724.0,1.6196868008948546,0.5,0.5,0.3,1.5,0.10067114093959731,0.062154696132596686,0.06040268456375839,0.18646408839779005,0.1610738255033557,0.6174033149171271,3.0870165745856353,-0.03851644480700062,0.12606140383403167,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Patrick Cutrone,a4fe8cda,https://fbref.com/en/players/a4fe8cda/Patrick-Cutrone,january,2019-20,2019-20,Serie A,Fiorentina,Wolves,FW,21.0,838.0,297.0,0.35441527446300713,3.9,2.2,1.5,0.3,0.418854415274463,0.6666666666666667,0.1610978520286396,0.09090909090909091,0.5799522673031026,1.5916429249762585,0.5643097643097644,0.24781225139220375,-0.07018876111954869,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Valentino Lazaro,016ff750,https://fbref.com/en/players/016ff750/Valentino-Lazaro,january,2019-20,2019-20,Serie A,Inter,Newcastle Utd,"DF,MF",23.0,323.0,480.0,1.4860681114551084,0.1,0.4,1.4,0.2,0.02786377708978328,0.075,0.3900928792569659,0.0375,0.41795665634674917,2.691666666666667,0.09613095238095239,0.04713622291021671,-0.3525928792569659,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Aboubakar Kamara,4047c976,https://fbref.com/en/players/4047c976/Aboubakar-Kamara,january,2020-21,2020-21,Ligue 1,Dijon,Fulham,"FW,MF",25.0,557.0,315.0,0.5655296229802513,1.2,0.5,0.8,0.3,0.19389587073608616,0.14285714285714285,0.12926391382405744,0.08571428571428572,0.3231597845601436,0.7367724867724867,0.6630952380952382,-0.05103872787894331,-0.043549628109771726,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Amad Diallo,9dc96f10,https://fbref.com/en/players/9dc96f10/Amad-Diallo,january,2020-21,2020-21,Serie A,Atalanta,Manchester Utd,FW,18.0,14.0,166.0,11.857142857142858,0.0,0.0,0.1,0.5,0.0,0.0,0.6428571428571429,0.2710843373493976,0.6428571428571429,,0.4216867469879518,0.0,-0.37177280550774533,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Diego Llorente,bba30585,https://fbref.com/en/players/bba30585/Diego-Llorente,january,2020-21,2020-21,La Liga,Real Sociedad,Leeds United,DF,26.0,90.0,1204.0,13.377777777777778,0.0,0.8,0.0,0.5,0.0,0.059800664451827246,0.0,0.03737541528239203,0.0,,,0.059800664451827246,0.03737541528239203,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
