player,understat_player_id,window,prior_season_end_year,pl_season_end_year,prior_season,pl_season,prior_league,prior_minutes,pl_minutes,prior_npxg,pl_npxg,prior_xa,pl_xa,prior_npxg_p90,pl_npxg_p90,prior_xa_p90,pl_xa_p90,prior_npxg_xa_p90,ratio_npxg,ratio_xa,diff_npxg,diff_xa,source,meets_900,meets_450
Dejan Kulusevski,6691,summer,2021,2022,2020-21,2021-22,Serie A,1917.0,1276.0,3.3344087265431868,3.023932365700601,6.333947457373141,4.146448384970427,0.15654501063583037,0.21328676560584178,0.297368425228786,0.2924610929838075,0.45391343586461635,1.3624628772232759,0.9834974670185548,0.05674175497001141,-0.004907332244978468,understat_roster_shots,True,True
Demarai Gray,762,summer,2021,2022,2020-21,2021-22,Bundesliga,438.0,2366.0,1.5132294762879603,4.336392738856372,0.7747809030115603,4.429345730692147,0.31093756362081376,0.1649515412075543,0.1592015554133343,0.16848736929936317,0.47013911903414807,0.5304973104140983,1.0583274068015236,-0.14598602241325948,0.009285813886028865,understat_roster_shots,False,False
Diogo Dalot,7281,summer,2021,2022,2020-21,2021-22,Serie A,1070.0,1790.0,0.5104913003742692,0.6603385116904967,0.9577981140464542,0.8457392938435072,0.042938520592228246,0.033201377682762406,0.08056245819082326,0.04252320471838863,0.12350097878305151,0.7732305916653254,0.5278290369152661,-0.00973714290946584,-0.038039253472434635,understat_roster_shots,True,True
Emerson,7430,summer,2021,2022,2020-21,2021-22,La Liga,2998.0,2296.0,1.3979490110650652,2.0201123822480436,3.1854076432064167,2.450624798424541,0.04196644796392791,0.07918558989648256,0.09562597994949217,0.09606107659329646,0.13759242791342008,1.8868785360282627,1.0045499836345113,0.03721914193255465,0.00043509664380429747,understat_roster_shots,True,True
Emmanuel Dennis,9301,summer,2021,2022,2020-21,2021-22,Bundesliga,473.0,2612.0,0.4957775902003048,7.0068078497424695,0.753465514630079,3.95916156284511,0.09433400236369437,0.2414290606725966,0.1433655313249622,0.13641827743340731,0.23769953368865654,2.559300513316433,0.9515416723437675,0.14709505830890224,-0.006947253891554872,understat_roster_shots,False,True
Hassane Kamara,3729,summer,2021,2022,2020-21,2021-22,Ligue 1,2966.0,1627.0,1.5259600197896348,0.1643535951152441,2.4687063256278625,0.6610655849799509,0.046303574437311916,0.009091471149583264,0.07491017171493851,0.03656785657541216,0.12121374615225042,0.19634490987065698,0.4881560906650523,-0.03721210328772865,-0.03834231513952635,understat_roster_shots,True,True
Hee-Chan Hwang,8845,summer,2021,2022,2020-21,2021-22,Bundesliga,434.0,1804.0,2.0261165024712677,4.1964046908542505,0.6018605176359414,1.6057070260867472,0.4201624083465763,0.20935500120669764,0.12480978476321367,0.08010733500432775,0.54497219310979,0.4982716136613738,0.6418353749772552,-0.21080740713987867,-0.04470244975888592,understat_roster_shots,False,False
Ibrahima Konaté,6326,summer,2021,2022,2020-21,2021-22,Bundesliga,695.0,990.0,0.7968814820051192,0.20516260154545288,0.0,0.0,0.10319328543951184,0.01865114559504117,0.0,0.0,0.10319328543951184,0.18073991457490513,,-0.08454213984447068,0.0,understat_roster_shots,False,True
Imran Louza,7278,summer,2021,2022,2020-21,2021-22,Ligue 1,2409.0,1443.0,2.0382956895045923,1.1728488490916784,1.7641830686479802,0.8327764142304654,0.07615052389182786,0.07315065586850385,0.06590970368547872,0.05194031689587102,0.14206022757730657,0.96060607504703,0.7880526537295685,-0.002999868023324012,-0.013969386789607692,understat_roster_shots,True,True
Jadon Sancho,6345,summer,2021,2022,2020-21,2021-22,Bundesliga,2083.0,1891.0,5.996701007708905,4.233037987723946,8.243653137236834,4.078670029528438,0.25909893936332284,0.2014666414041011,0.3561828047773956,0.19411967353652007,0.6152817441407185,0.7775664458494499,0.5450001261510631,-0.05763229795922176,-0.16206313124087554,understat_roster_shots,True,True
Joshua Sargent,7295,summer,2021,2022,2020-21,2021-22,Bundesliga,2541.0,1578.0,5.8171044671908,2.0713026840239754,3.8093943586572996,0.536333795636892,0.2060367579878678,0.11813513406980848,0.13492542002328098,0.03058937997929042,0.3409621780111488,0.5733692144232084,0.22671324628088846,-0.08790162391805932,-0.10433604004399055,understat_roster_shots,True,True
Juan Camilo Hernández,6954,summer,2021,2022,2020-21,2021-22,La Liga,1479.0,1125.0,2.5189575580880037,2.664221607148646,1.2373304162174459,1.6998535655438898,0.15328342138466552,0.21313772857189167,0.07529394013493586,0.13598828524351117,0.2285773615196014,1.390481283928426,1.8060986714176956,0.05985430718722615,0.06069434510857531,understat_roster_shots,True,True
Juraj Kucka,1123,summer,2021,2022,2020-21,2021-22,Serie A,2354.0,1928.0,4.01811618171632,2.5135278785601236,2.234635697677731,1.0615557907149193,0.15362381323469365,0.11733273292033772,0.08543636907009168,0.04955395288606989,0.23906018230478532,0.7637665701025567,0.5800100522227953,-0.036291080314355934,-0.03588241618402179,understat_roster_shots,True,True
Júnior Firpo,6485,summer,2021,2022,2020-21,2021-22,La Liga,283.0,1735.0,0.7897049784660339,0.9361439049243921,1.0050469860434532,2.5230679307132955,0.25114292601393307,0.04856077892979555,0.3196262499784834,0.13087960447504127,0.5707691759924165,0.19335913497759227,0.40947702037567885,-0.20258214708413752,-0.1887466455034421,understat_roster_shots,False,False
Kenedy,689,summer,2021,2022,2020-21,2021-22,La Liga,1494.0,59.0,2.00048958417028,0.0535646006464958,3.7075770720839496,0.7482360005378723,0.1205114207331494,0.08170871285058681,0.22334801639059937,1.1413769499730255,0.3438594371237488,0.6780163436253555,5.110307082275326,-0.038802707882562584,0.9180289335824261,understat_roster_shots,False,False
Kieran Trippier,652,summer,2021,2022,2020-21,2021-22,La Liga,2479.0,434.0,0.1303206961601971,0.2261340022087096,3.920961366966366,0.2351752035319803,0.004731287879958749,0.04689414792346512,0.14235035216900885,0.04876905142368255,0.1470816400489676,9.911497485093632,0.3425987409274571,0.042162860043506376,-0.0935813007453263,understat_roster_shots,False,False
Leon Bailey,5221,summer,2021,2022,2020-21,2021-22,Bundesliga,2151.0,723.0,6.5204978482797715,1.4925608886405815,6.3491800986230365,0.6773803047835824,0.2728241777522917,0.18579596124156614,0.26565607107209355,0.08432119976559117,0.5384802488243852,0.6810098825268264,0.31740738852795936,-0.08702821651072554,-0.1813348713065024,understat_roster_shots,False,True
Lyanco,6252,summer,2021,2022,2020-21,2021-22,Serie A,1954.0,898.0,1.5229800115339454,0.2554842922836539,0.35983769595623,0.1741070002317428,0.07014749285468531,0.02560532996161342,0.016573895924288998,0.017449476637925225,0.08672138877897431,0.3650213132300591,1.052828901402299,-0.04454216289307189,0.0008755807136362273,understat_roster_shots,False,True
Marc Cucurella,7134,summer,2021,2022,2020-21,2021-22,La Liga,3255.0,3102.0,2.204235207289456,0.7293020971119396,3.6014319956302634,2.8715989068150507,0.06094659559325685,0.02115963531272552,0.09957876485613633,0.08331524874705176,0.1605253604493932,0.34718322010863273,0.8366768644642175,-0.03978696028053133,-0.016263516109084566,understat_roster_shots,True,True
Mathias Normann,7470,summer,2021,2022,2020-21,2021-22,Russian Premier League,1150.0,1661.0,0.9363957117311645,0.8355383183807122,0.6627341825515028,2.2901421673595905,0.07328314265722158,0.04527299738366291,0.05186615341707414,0.12408958161490857,0.1251492960742957,0.6177818764599822,2.3924963283291945,-0.02801014527355867,0.07222342819783444,understat_roster_shots,True,True
Maxwel Cornet,3278,summer,2021,2022,2020-21,2021-22,Ligue 1,2477.0,1790.0,1.947841191664337,5.952873677015303,3.609827717766165,1.7581321336328979,0.07077339816301587,0.29930649772702644,0.13116047420224258,0.08839770504299488,0.20193387236525845,4.229081907832361,0.6739660372582235,0.22853309956401058,-0.042762769159247704,understat_roster_shots,True,True
Milot Rashica,6523,summer,2021,2022,2020-21,2021-22,Bundesliga,1453.0,2248.0,2.932211879640816,2.569659525528548,1.6211802242323754,1.9145782003179186,0.18162358511195692,0.10287782797934578,0.10041721967027789,0.07665126246824407,0.2820408047822348,0.5664342982544339,0.7633278706573449,-0.07874575713261114,-0.023765957202033824,understat_roster_shots,True,True
Moise Kean,1304,summer,2021,2022,2020-21,2021-22,Ligue 1,1723.0,1.0,10.80333445034921,0.0,0.9559355862438677,0.0,0.5643065005986239,0.0,0.0499327932454719,0.0,0.6142392938440958,0.0,0.0,-0.5643065005986239,-0.0499327932454719,understat_roster_shots,False,False
Nicolas N&#039;Koulou,3387,summer,2021,2022,2020-21,2021-22,Serie A,1363.0,167.0,0.6929326876997947,0.0,0.0692174993455409,0.0129845002666115,0.045754909679370154,0.0,0.00457048785113623,0.006997634874221766,0.05032539753050638,0.0,1.5310476916555296,-0.045754909679370154,0.0024271470230855362,understat_roster_shots,False,False
Nikola Vlasic,6276,summer,2021,2022,2020-21,2021-22,Russian Premier League,2271.0,548.0,4.621930712368335,0.9056943729519842,5.512593116611241,0.606604408472776,0.18316766363414802,0.14874542621474193,0.21846472060546532,0.0996248116104924,0.40163238423961334,0.8120725201356517,0.45602242473927435,-0.03442223741940609,-0.11883990899497292,understat_roster_shots,False,True
Philippe Coutinho,488,summer,2021,2022,2020-21,2021-22,La Liga,667.0,1364.0,4.289969869889318,3.3669724529609066,0.6798082850873469,2.932847184129059,0.5788565041829665,0.22216093897835892,0.09172825435961203,0.193516309803237,0.6705847585425786,0.3837927662088387,2.109669601304898,-0.3566955652046076,0.10178805544362497,understat_roster_shots,False,True
Pierre Lees-Melou,5619,summer,2021,2022,2020-21,2021-22,Ligue 1,2061.0,2293.0,3.3915081089362484,1.3564581042155606,0.8568411888554688,1.859252595342695,0.1481007907832423,0.05324083269925881,0.03741664580154885,0.07297546165758506,0.18551743658479114,0.3594905362604117,1.95034750160754,-0.09485995808398348,0.03555881585603621,understat_roster_shots,True,True
Raphael Varane,2245,summer,2021,2022,2020-21,2021-22,La Liga,2718.0,1823.0,2.7280356362462035,0.7495002876967188,0.1703762211836873,0.2139597013592718,0.090332305835967,0.037002208388757375,0.005641596727936666,0.010563013232218576,0.09597390256390367,0.40962320231201776,1.872344611218223,-0.05333009744720963,0.004921416504281909,understat_roster_shots,True,True
Rodrigo Bentancur,6108,summer,2021,2022,2020-21,2021-22,Serie A,2340.0,1376.0,0.5898594995960584,0.5784623958170406,2.678508818149566,3.092965390533209,0.02268690383061763,0.037835476470591316,0.10301956992882948,0.2023015153691779,0.1257064737594471,1.667723227156699,1.9637192769192964,0.015148572639973684,0.09928194544034842,understat_roster_shots,True,True
Romain Perraud,6500,summer,2021,2022,2020-21,2021-22,Ligue 1,3140.0,1630.0,2.7131590354256314,0.7305774409323921,3.128287872299551,0.4040513997897503,0.07776570483704039,0.04033863170792349,0.08966430207228013,0.022309586491458602,0.16743000690932053,0.5187200680872618,0.24881235871857246,-0.037427073129116896,-0.06735471558082153,understat_roster_shots,True,True
Romelu Lukaku,594,summer,2021,2022,2020-21,2021-22,Serie A,2885.0,1571.0,18.857973949983712,6.259267052635549,8.387606982141733,3.362756066024303,0.588290348526355,0.3585830902210054,0.2616584500494821,0.1926467510771402,0.8499487985758372,0.6095342055487438,0.7362527410855978,-0.2297072583053496,-0.06901169897234194,understat_roster_shots,True,True
Ryan Sessegnon,6837,summer,2021,2022,2020-21,2021-22,Bundesliga,1567.0,1065.0,0.7834270186722276,0.38443529605865456,1.596172766759991,3.2756368126720186,0.04499580834747957,0.03248748980777363,0.09167552585092482,0.27681437853566354,0.13667133419840438,0.7220114717550886,3.0195013987244126,-0.012508318539705944,0.18513885268473873,understat_roster_shots,True,True
Salomón Rondón,813,summer,2021,2022,2020-21,2021-22,Russian Premier League,754.0,764.0,4.530264781787991,2.640421275049447,1.0273792045190928,0.6123949047178028,0.5407477856245613,0.3110443910398563,0.1226314700354355,0.07214076102696629,0.6633792556599968,0.575211585343066,0.5882728226785551,-0.22970339458470496,-0.050490709008469206,understat_roster_shots,False,True
Samir,1142,summer,2021,2022,2020-21,2021-22,Serie A,2210.0,1682.0,1.3209115155041213,0.3858644962310787,0.8940236913040277,0.1426795013248919,0.0537927766494891,0.020646732854219432,0.036408204623240945,0.0076344560756482,0.09020098127273005,0.38381980147171907,0.2096905396640952,-0.03314604379526967,-0.028773748547592744,understat_roster_shots,True,True
Samuel Kalu,6947,summer,2021,2022,2020-21,2021-22,Ligue 1,980.0,220.0,1.764636025764047,0.3926308061927556,0.5252076378092168,0.2924529910087585,0.16205841052935124,0.16062169344249094,0.04823335449268317,0.11963985995812848,0.21029176502203442,0.9911345725151359,2.48043830284036,-0.0014367170868603008,0.0714065054654453,understat_roster_shots,False,False
