slice,n,talent_rule,npxg_n,npxg_n_ratio,npxg_mean_ratio,npxg_median_ratio,npxg_p25_ratio,npxg_p75_ratio,npxg_share_ratio_lt_1,npxg_mean_diff,npxg_median_diff,xag_n,xag_n_ratio,xag_mean_ratio,xag_median_ratio,xag_p25_ratio,xag_p75_ratio,xag_share_ratio_lt_1,xag_mean_diff,xag_median_diff,mean_prior_npxg_p90,mean_pl_npxg_p90,mean_prior_xag_p90,mean_pl_xag_p90,median_minutes_ratio,share_dest_big6
league_Bundesliga_talent_bottom_summer_900,10,,10,10,2.0056359363724403,0.74482137143364,0.5391070245232912,1.3920810974803648,0.7,0.007022713507050882,-0.012568508734157137,10,10,2.7258863853527715,1.9511530619419248,0.9472916929221872,3.7487213915578104,0.5,0.008653551348015837,0.00513798061303908,0.042269117611001154,0.04929183111805204,0.025466629933795542,0.03412018128181138,0.9688765119461851,0.3
league_Serie A_talent_top_summer_900,11,,11,11,0.9987607023422561,0.9941176470588236,0.7149854708401087,1.3031980498263678,0.5454545454545454,-0.034318248392599934,-0.0006568384177492309,11,11,0.8804884090424347,0.8362794505129058,0.6712987971563487,0.9313372170622118,0.8181818181818182,-0.023436199565487127,-0.024737254646292076,0.33669703067047735,0.3023787822778774,0.1797296977094803,0.1562934981439932,0.655746229849194,0.6363636363636364
league_Serie A_talent_average_summer_900,20,,20,20,0.8879746297019423,0.8385298765643019,0.37861287176986835,1.0628060324807722,0.75,-0.020652123274322136,-0.013116792575789103,20,20,0.7036350600021505,0.5847770775365451,0.5274234386303351,0.6910132839638127,0.85,-0.028385254936750582,-0.034990843508259935,0.06741461472581282,0.0467624914514907,0.09928899147580111,0.07090373653905054,0.8946961113209364,0.35
league_Serie A_talent_bottom_summer_900,10,,10,10,1.4109254558094757,0.5879714450979491,0.4738694523097473,0.7289902434524514,0.8,-0.0011516648162878187,-0.011430949999263099,10,10,1.1960949615899745,0.47381689003526434,0.27640662097886864,1.0335842723902429,0.7,-0.008252860505106362,-0.016318678572434443,0.03256033898916451,0.03140867417287668,0.02914162723422516,0.020888766729118796,0.6489244151874927,0.4
league_Ligue 1_talent_top_summer_900,18,,18,18,0.8628064049101134,0.763035533177636,0.5715627329699956,0.9878281118393542,0.7777777777777778,-0.04790525498629065,-0.040826372528021695,18,18,1.0091817286714722,0.7690817822037925,0.5982607249118037,1.1180682104206172,0.6111111111111112,-0.025141731352592126,-0.04543018101544197,0.22578047559453632,0.1778752206082457,0.1791877056074111,0.15404597425481897,0.9049251664798577,0.1111111111111111
league_Ligue 1_talent_average_summer_900,34,,34,34,0.9740729845397004,0.7790584945216892,0.3522207500018246,1.2025295081800838,0.6470588235294118,-0.005271980199688579,-0.013539801598004836,34,34,0.959914124585967,0.674159301174273,0.41985875922989035,1.226704990743899,0.6470588235294118,-0.0131836581948695,-0.016880123830255757,0.06987991180142453,0.06460793160173595,0.08076563474833637,0.06758197655346686,0.6757842361866679,0.17647058823529413
league_Ligue 1_talent_bottom_summer_900,17,,17,16,1.4531232595971613,1.0581603980493175,0.6694362075574862,1.9334009465855306,0.4375,0.0034713454990397507,0.003572202713833607,17,15,1.6121835580076784,1.311764705882353,0.8526119620765893,1.9529132182010676,0.3333333333333333,0.006041932011233007,0.004528932115139011,0.03735954234695071,0.04083088784599046,0.017676139149780643,0.02371807116101365,0.9239130434782609,0.29411764705882354
league_La Liga_summer_900,46,,46,45,1.0544054461749202,0.9269716692189893,0.5198147195059187,1.3297793314398079,0.5333333333333333,-0.005541591601164068,-0.001977714520482031,46,46,1.178545617216532,0.9775932868089432,0.5682464575585656,1.4386644037431582,0.5217391304347826,-0.011400907891485696,-0.002300756396114054,0.15185611493541326,0.14631452333424919,0.10607405670199968,0.09467314881051402,0.8912069105454095,0.34782608695652173
league_La Liga_summer_450,68,,68,67,1.0090577002382792,0.8154397978315806,0.5199447080256018,1.3178918652049523,0.5970149253731343,-0.014108636486084104,-0.010935846357288961,68,68,1.1481377578484182,0.9775932868089432,0.543229564553094,1.3722886367781653,0.5294117647058824,-0.008564108978821414,-0.0023868860589413843,0.15772403216268444,0.14361539567660037,0.1148981141656705,0.10633400518684907,0.8551041905053602,0.3088235294117647
league_Bundesliga_summer_900,38,,38,38,1.0874356813889918,0.7026327289688397,0.5241122057768295,0.9507451090310056,0.7631578947368421,-0.036644847302221784,-0.031250910678936386,38,38,1.3255178855114722,0.6935294697912069,0.40634380106431306,1.288734426437137,0.7105263157894737,-0.03679272622450077,-0.028745783076756067,0.19898555613215885,0.16234070882993712,0.13182722445971137,0.09503449823521058,0.9161598068198629,0.5
