num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw2_avg_fdr,gw2_max_fdr,gw3_avg_fdr,gw1_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,COV-MCI-MUN-MUN-SUN,COV,MCI,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,COV-MCI-MUN-SUN-SUN,COV,MCI,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,COV-MCI-SUN-SUN-SUN,COV,MCI,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,LIV-MUN-MUN-MUN-TOT,LIV,MUN,MUN,MUN,TOT,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,LIV-MUN-MUN-TOT-SUN,LIV,MUN,MUN,TOT,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,LIV-MUN-TOT-SUN-SUN,LIV,MUN,TOT,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,LIV-TOT-SUN-SUN-SUN,LIV,TOT,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,MCI-MUN-MUN-MUN-TOT,MCI,MUN,MUN,MUN,TOT,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,MCI-MUN-MUN-TOT-SUN,MCI,MUN,MUN,TOT,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,MCI-MUN-TOT-SUN-SUN,MCI,MUN,TOT,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,MCI-TOT-SUN-SUN-SUN,MCI,TOT,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,BRE-CHE-MUN-MUN-MUN,BRE,CHE,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
4,2+1+1+1,BRE-CHE-MUN-MUN-SUN,BRE,CHE,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
4,2+1+1+1,BRE-CHE-MUN-SUN-SUN,BRE,CHE,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
3,3+1+1,BRE-CHE-SUN-SUN-SUN,BRE,CHE,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
3,3+1+1,CHE-LIV-MUN-MUN-MUN,CHE,LIV,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
4,2+1+1+1,CHE-LIV-MUN-MUN-SUN,CHE,LIV,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
4,2+1+1+1,CHE-LIV-MUN-SUN-SUN,CHE,LIV,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
3,3+1+1,CHE-LIV-SUN-SUN-SUN,CHE,LIV,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
3,3+1+1,CHE-MCI-MUN-MUN-MUN,CHE,MCI,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
4,2+1+1+1,CHE-MCI-MUN-MUN-SUN,CHE,MCI,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
4,2+1+1+1,CHE-MCI-MUN-SUN-SUN,CHE,MCI,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
3,3+1+1,CHE-MCI-SUN-SUN-SUN,CHE,MCI,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.189
3,3+1+1,BRE-MUN-MUN-MUN-SUN,BRE,MUN,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,2+2+1,BRE-MUN-MUN-SUN-SUN,BRE,MUN,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,3+1+1,BRE-MUN-SUN-SUN-SUN,BRE,MUN,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,3+1+1,LIV-MUN-MUN-MUN-SUN,LIV,MUN,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,2+2+1,LIV-MUN-MUN-SUN-SUN,LIV,MUN,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,3+1+1,LIV-MUN-SUN-SUN-SUN,LIV,MUN,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,3+1+1,MCI-MUN-MUN-MUN-SUN,MCI,MUN,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,2+2+1,MCI-MUN-MUN-SUN-SUN,MCI,MUN,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
3,3+1+1,MCI-MUN-SUN-SUN-SUN,MCI,MUN,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.2
2,3+2,BRE-BRE-MUN-MUN-MUN,BRE,BRE,MUN,MUN,MUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,BRE-BRE-MUN-MUN-SUN,BRE,BRE,MUN,MUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,BRE-BRE-MUN-SUN-SUN,BRE,BRE,MUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
2,3+2,BRE-BRE-SUN-SUN-SUN,BRE,BRE,SUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,3+1+1,BRE-LIV-MUN-MUN-MUN,BRE,LIV,MUN,MUN,MUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
4,2+1+1+1,BRE-LIV-MUN-MUN-SUN,BRE,LIV,MUN,MUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
4,2+1+1+1,BRE-LIV-MUN-SUN-SUN,BRE,LIV,MUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,3+1+1,BRE-LIV-SUN-SUN-SUN,BRE,LIV,SUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,3+1+1,BRE-MCI-MUN-MUN-MUN,BRE,MCI,MUN,MUN,MUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
4,2+1+1+1,BRE-MCI-MUN-MUN-SUN,BRE,MCI,MUN,MUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
