player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,xp_per_m_season,n_gameweeks,in_s1,in_s5,in_user
372,Mac Allister,LIV,MID,Regular Starter,watch,5.5,1.9,94.83,2266.0,59.6,3.7663,11.85,282.0,47.0,3.7814,17.241818181818182,38,False,False,False
73,Adams,BOU,MID,Nailed Starter,eligible,5.0,0.7,122.84,2945.0,77.5,3.7541,18.77,465.0,77.5,3.633,24.568,38,False,False,False
290,Slater,HUL,MID,Regular Starter,eligible,4.5,1.8,98.23,2356.0,62.0,3.7525,15.45,372.0,62.0,3.7373,21.82888888888889,38,True,True,False
140,Sánchez,CHE,GKP,Nailed Starter,eligible,5.0,2.0,122.36,2945.0,77.5,3.7393,19.43,465.0,77.5,3.7603,24.472,38,False,False,False
257,Bassey,FUL,DEF,Nailed Starter,eligible,4.5,0.5,122.26,2945.0,77.5,3.7364,18.14,465.0,77.5,3.5119,27.16888888888889,38,False,False,False
250,Leno,FUL,GKP,Nailed Starter,eligible,4.5,3.2,122.21,2945.0,77.5,3.7347,18.28,465.0,77.5,3.5383,27.157777777777778,38,False,False,False
149,Colwill,CHE,DEF,Nailed Starter,eligible,5.0,1.9,122.18,2945.0,77.5,3.734,19.42,465.0,77.5,3.7591,24.436,38,False,False,False
57,Petrović,BOU,GKP,Nailed Starter,eligible,4.5,3.6,121.96,2945.0,77.5,3.727,17.03,465.0,77.5,3.2968,27.10222222222222,38,False,False,False
519,Gallagher,TOT,MID,Regular Starter,eligible,5.5,0.2,97.03,2356.0,62.0,3.7067,15.37,372.0,62.0,3.7194,17.64181818181818,38,False,False,False
462,Steur,NEW,MID,Regular Starter,eligible,5.0,0.1,96.57,2356.0,62.0,3.6891,15.69,372.0,62.0,3.7963,19.314,38,False,False,False
497,Dubravka,TOT,GKP,Rotation,not_role_eligible,4.0,24.7,51.36,1254.0,33.0,3.6864,8.14,198.0,33.0,3.702,12.84,38,False,False,False
47,Kamara,AVL,MID,Nailed Starter,watch,5.0,0.1,115.89,2830.2,74.5,3.6851,14.14,350.2,58.4,3.6335,23.178,38,False,False,False
104,Onyeka,COV,MID,Regular Starter,eligible,5.0,0.2,96.36,2356.0,62.0,3.6808,15.31,372.0,62.0,3.7031,19.272,38,False,False,False
379,Isak,LIV,FWD,Nailed Starter,eligible,9.0,11.7,120.35,2945.0,77.5,3.678,19.48,465.0,77.5,3.7695,13.372222222222222,38,False,False,True
88,Kayode,BRE,DEF,Nailed Starter,eligible,4.5,4.2,120.26,2945.0,77.5,3.6752,18.38,465.0,77.5,3.5566,26.724444444444444,38,False,False,False
31,Konsa,AVL,DEF,Nailed Starter,eligible,4.5,17.6,118.82,2945.0,77.5,3.6312,18.74,465.0,77.5,3.6274,26.404444444444444,38,False,False,False
546,Adingra,SUN,MID,Rotation,not_role_eligible,5.0,0.3,50.58,1254.0,33.0,3.6301,8.02,198.0,33.0,3.6471,10.116,38,False,False,False
282,Giles,HUL,DEF,Regular Starter,eligible,4.0,0.6,94.92,2356.0,62.0,3.6258,14.72,372.0,62.0,3.5616,23.73,38,False,False,False
64,Smith,BOU,DEF,Regular Starter,eligible,4.5,0.1,94.8,2356.0,62.0,3.6213,13.14,372.0,62.0,3.1781,21.066666666666666,38,False,False,False
246,Röhl,EVE,MID,Regular Starter,eligible,5.0,0.1,94.68,2356.0,62.0,3.6169,15.23,372.0,62.0,3.6856,18.936,38,False,False,False
503,Van de Ven,TOT,DEF,Nailed Starter,eligible,5.0,6.4,118.24,2945.0,77.5,3.6135,18.75,465.0,77.5,3.6292,23.648,38,False,False,False
564,Scherpen,IPS,GKP,Regular Starter,eligible,4.5,0.2,94.56,2356.0,62.0,3.6122,15.3,372.0,62.0,3.7009,21.013333333333335,38,True,False,False
161,Lavia,CHE,MID,Regular Starter,eligible,5.0,0.0,94.44,2356.0,62.0,3.6077,14.93,372.0,62.0,3.6132,18.887999999999998,38,False,False,False
86,Lewis-Potter,BRE,MID,Regular Starter,eligible,5.5,0.5,94.26,2356.0,62.0,3.6006,14.65,372.0,62.0,3.5439,17.13818181818182,38,False,False,False
371,Gravenberch,LIV,MID,Nailed Starter,eligible,6.0,1.9,117.7,2945.0,77.5,3.5968,18.85,465.0,77.5,3.6489,19.616666666666667,38,False,False,False
292,Ömür,HUL,MID,Rotation,not_role_eligible,5.0,0.0,49.55,1254.0,33.0,3.5565,7.8,198.0,33.0,3.5472,9.91,38,False,False,False
329,Rodon,LEE,DEF,Nailed Starter,eligible,4.5,1.8,116.13,2945.0,77.5,3.5489,17.98,465.0,77.5,3.4797,25.806666666666665,38,False,False,False
190,Tchaouna,COV,MID,Rotation,not_role_eligible,5.5,0.1,49.26,1254.0,33.0,3.5352,7.8,198.0,33.0,3.5476,8.956363636363635,38,False,False,False
261,Iwobi,FUL,MID,Nailed Starter,eligible,5.5,0.9,115.06,2945.0,77.5,3.5163,17.59,465.0,77.5,3.4046,20.92,38,False,False,False
491,Igor Jesus,NFO,FWD,Regular Starter,eligible,6.0,5.1,91.73,2356.0,62.0,3.5043,14.57,372.0,62.0,3.5253,15.288333333333334,38,False,False,False
359,Gomez,LIV,DEF,Rotation,exclude_gw1,5.0,0.1,47.49,1221.0,32.1,3.5004,6.72,165.0,27.5,3.6658,9.498000000000001,38,False,False,False
506,Udogie,TOT,DEF,Rotation,not_role_eligible,4.5,0.4,48.73,1254.0,33.0,3.4976,7.73,198.0,33.0,3.5136,10.828888888888889,38,False,False,False
265,Berge,FUL,MID,Regular Starter,eligible,5.0,0.4,91.02,2356.0,62.0,3.4771,14.09,372.0,62.0,3.4085,18.204,38,False,False,False
326,Perri,LEE,GKP,Rotation,not_role_eligible,4.5,0.7,48.35,1254.0,33.0,3.4698,7.5,198.0,33.0,3.4098,10.744444444444445,38,False,False,False
125,Georginio,BHA,FWD,Regular Starter,eligible,5.5,0.7,90.62,2356.0,62.0,3.4618,14.33,372.0,62.0,3.4666,16.476363636363637,38,False,False,True
62,Diakité,BOU,DEF,Rotation,not_role_eligible,5.0,0.2,48.09,1254.0,33.0,3.4516,6.68,198.0,33.0,3.0352,9.618,38,False,False,False
358,Kerkez,LIV,DEF,Nailed Starter,eligible,5.5,6.0,112.93,2945.0,77.5,3.4511,18.52,465.0,77.5,3.5843,20.532727272727275,38,False,False,False
277,Egan,HUL,DEF,Regular Starter,eligible,4.0,0.8,89.94,2356.0,62.0,3.4357,13.95,372.0,62.0,3.3761,22.485,38,False,False,False
454,Elanga,NEW,MID,Regular Starter,eligible,6.0,0.7,88.89,2356.0,62.0,3.3956,14.43,372.0,62.0,3.491,14.815,38,False,False,False
552,Brobbey,SUN,FWD,Nailed Starter,eligible,6.0,21.6,109.86,2945.0,77.5,3.3575,17.52,465.0,77.5,3.3916,18.31,38,False,False,False
222,Strand Larsen,CRY,FWD,Regular Starter,eligible,6.0,0.6,85.16,2356.0,62.0,3.2532,13.52,372.0,62.0,3.2701,14.193333333333333,38,False,False,False
545,Sadiki,SUN,MID,Nailed Starter,eligible,5.0,0.4,104.93,2945.0,77.5,3.2068,16.7,465.0,77.5,3.2314,20.986,38,False,False,False
148,Hato,CHE,DEF,Regular Starter,eligible,4.5,1.3,81.19,2356.0,62.0,3.1014,12.93,372.0,62.0,3.1281,18.04222222222222,38,False,False,False
7,Lewis-Skelly,ARS,MID,Regular Starter,eligible,5.5,0.3,79.46,2356.0,62.0,3.0354,12.56,372.0,62.0,3.0376,14.447272727272725,38,False,False,False
