player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
356,Virgil,LIV,DEF,Nailed Starter,eligible,6.5,16.3,148.51,2945.0,77.5,4.5386,24.23,465.0,77.5,4.6891,38
84,Collins,BRE,DEF,Nailed Starter,eligible,5.5,2.0,147.24,2945.0,77.5,4.4998,22.61,465.0,77.5,4.3764,38
5,J.Timber,ARS,DEF,Regular Starter,exclude_gw1,6.5,0.5,146.55,2294.0,60.4,5.7497,19.19,310.0,51.7,5.5717,38
389,Matheus N.,MCI,DEF,Nailed Starter,eligible,6.0,5.1,146.37,2945.0,77.5,4.4731,23.04,465.0,77.5,4.4598,38
237,Ndiaye,EVE,MID,Nailed Starter,eligible,6.0,17.8,146.06,2945.0,77.5,4.4635,23.83,465.0,77.5,4.613,38
391,Gvardiol,MCI,DEF,Regular Starter,eligible,5.5,9.7,144.68,2356.0,62.0,5.5269,22.76,372.0,62.0,5.5067,38
69,Scott,BOU,MID,Nailed Starter,eligible,6.0,1.6,144.66,2945.0,77.5,4.4208,21.6,465.0,77.5,4.1802,38
55,Watkins,AVL,FWD,Nailed Starter,eligible,8.0,12.3,144.64,2945.0,77.5,4.4202,22.94,465.0,77.5,4.4402,38
67,Rayan,BOU,MID,Nailed Starter,eligible,6.5,3.4,144.58,2945.0,77.5,4.4185,20.91,465.0,77.5,4.0464,38
11,Mosquera,ARS,DEF,Regular Starter,eligible,5.5,17.1,143.77,2356.0,62.0,5.4919,22.67,372.0,62.0,5.4858,38
542,E.Le Fée,SUN,MID,Nailed Starter,eligible,6.0,11.7,143.56,2945.0,77.5,4.3872,22.97,465.0,77.5,4.445,38
346,Calvert-Lewin,LEE,FWD,Nailed Starter,eligible,6.0,18.0,142.69,2945.0,77.5,4.3607,22.26,465.0,77.5,4.3076,38
397,Semenyo,MCI,MID,Nailed Starter,eligible,8.5,21.4,142.15,2945.0,77.5,4.344,22.36,465.0,77.5,4.3275,38
562,Maeda,IPS,MID,Regular Starter,eligible,5.5,0.4,141.13,2356.0,62.0,5.3911,22.76,372.0,62.0,5.5058,38
445,Thiaw,NEW,DEF,Nailed Starter,eligible,5.0,2.2,140.27,2945.0,77.5,4.2866,23.43,465.0,77.5,4.5349,38
368,Szoboszlai,LIV,MID,Nailed Starter,eligible,7.0,48.2,139.91,2945.0,77.5,4.2756,22.56,465.0,77.5,4.3664,38
393,Khusanov,MCI,DEF,Regular Starter,eligible,5.5,2.0,139.18,2356.0,62.0,5.3168,21.91,372.0,62.0,5.3016,38
388,Guéhi,MCI,DEF,Regular Starter,eligible,6.0,24.2,138.99,2356.0,62.0,5.3095,21.87,372.0,62.0,5.2904,38
362,Jacquet,LIV,DEF,Nailed Starter,eligible,5.0,2.3,138.5,2945.0,77.5,4.2325,22.6,465.0,77.5,4.3747,38
12,Saka,ARS,MID,Regular Starter,watch,9.5,10.7,137.75,2266.0,59.6,5.4712,16.89,282.0,47.0,5.3919,38
28,Martinez,AVL,GKP,Nailed Starter,eligible,5.0,4.5,136.93,2945.0,77.5,4.1848,21.65,465.0,77.5,4.1907,38
255,J.Cuenca,FUL,DEF,Regular Starter,eligible,4.5,0.0,135.85,2356.0,62.0,5.1894,20.63,372.0,62.0,4.9905,38
335,Stach,LEE,MID,Nailed Starter,eligible,6.0,1.4,135.58,2945.0,77.5,4.1434,21.23,465.0,77.5,4.1099,38
10,White,ARS,DEF,Regular Starter,watch,5.5,0.1,135.31,2266.0,59.6,5.3741,16.82,282.0,47.0,5.368,38
499,Pedro Porro,TOT,DEF,Nailed Starter,eligible,5.5,23.9,135.15,2945.0,77.5,4.1301,21.45,465.0,77.5,4.1517,38
427,Mbeumo,MUN,MID,Regular Starter,eligible,8.0,14.8,134.85,2356.0,62.0,5.1514,21.95,372.0,62.0,5.3115,38
467,Sels,NFO,GKP,Nailed Starter,eligible,5.0,1.4,134.65,2945.0,77.5,4.1148,21.52,465.0,77.5,4.1649,38
194,Thomas-Asante,COV,FWD,Regular Starter,eligible,5.0,0.9,133.63,2356.0,62.0,5.1047,21.38,372.0,62.0,5.1716,38
236,Dewsbury-Hall,EVE,MID,Nailed Starter,eligible,6.5,4.1,133.62,2945.0,77.5,4.0834,21.77,465.0,77.5,4.2137,38
32,Cash,AVL,DEF,Nailed Starter,eligible,4.5,7.8,132.81,2945.0,77.5,4.0588,20.98,465.0,77.5,4.0607,38
61,Truffert,BOU,DEF,Nailed Starter,eligible,5.5,4.6,132.25,2945.0,77.5,4.0414,18.28,465.0,77.5,3.5388,38
18,Martinelli,ARS,MID,Regular Starter,eligible,6.5,0.3,132.03,2356.0,62.0,5.0436,20.81,372.0,62.0,5.0351,38
109,Verbruggen,BHA,GKP,Nailed Starter,eligible,4.5,16.7,131.22,2945.0,77.5,4.01,20.9,465.0,77.5,4.0458,38
142,James,CHE,DEF,Regular Starter,eligible,5.5,8.1,131.22,2356.0,62.0,5.0128,20.8,372.0,62.0,5.0316,38
20,Dowman,ARS,MID,Regular Starter,eligible,5.5,0.2,131.21,2356.0,62.0,5.0121,20.68,372.0,62.0,5.0026,38
338,Ampadu,LEE,MID,Nailed Starter,eligible,5.5,1.4,130.98,2945.0,77.5,4.0028,20.56,465.0,77.5,3.9787,38
124,Groß,BHA,MID,Nailed Starter,eligible,5.5,5.4,130.69,2945.0,77.5,3.994,20.7,465.0,77.5,4.0058,38
