player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note
73,200785,Adams,BOU,MID,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,2,3728.0,fpl_recency_50_50,0.0466,0.0335,12.2416,12.2416,0.0,1.4014,50% latest>=900 2025/26 (1769m) + 50% mean other usable [2024/25(1959m)]
78,560262,Kroupi.Jr,BOU,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,exclude_gw1-5,out_gw1-5_metatarsal_fracture,1,1663.0,fpl_single_usable_season,0.4497,0.0817,6.0613,6.0613,0.0,1.1365,"100% latest-eligible 2025/26 (1663 mins, floor>=900)"
68,201658,Tavernier,BOU,MID,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,3,6782.0,fpl_recency_50_50,0.2546,0.1633,8.3036,8.3036,0.0,1.4662,"50% latest>=900 2025/26 (2732m) + 50% mean other usable [2023/24(2118m),2024/25(1932m)]"
67,499604,Rayan,BOU,MID,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,none,1,1110.0,fpl_single_usable_season,0.2165,0.1492,6.6486,6.6486,0.0,0.8108,"100% latest-eligible 2025/26 (1110 mins, floor>=900)"
64,54469,Smith,BOU,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,4807.0,fpl_recency_50_50,0.0097,0.035,5.2623,5.2623,0.0,1.272,"50% latest>=900 2025/26 (1073m) + 50% mean other usable [2023/24(2148m),2024/25(1586m)]"
62,242882,Diakité,BOU,DEF,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,1,1275.0,fpl_single_usable_season,0.0014,0.0134,8.2588,8.2588,0.0,1.9059,"100% latest-eligible 2025/26 (1275 mins, floor>=900)"
79,444102,Evanilson,BOU,FWD,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,2,5058.0,fpl_recency_50_50,0.4169,0.0581,4.2945,4.2945,0.0,1.2393,50% latest>=900 2025/26 (2741m) + 50% mean other usable [2024/25(2317m)]
81,561245,Rodríguez,BOU,FWD,Rotation,0.4,0.25,0.35,70.0,20.0,not_role_eligible,none,0,0.0,fallback_baseline,0.41,0.13,1.5,1.5,0.0,1.41,Position baseline (FWD); no usable FPL season and no external package
75,158499,Christie,BOU,MID,Rotation,0.25,0.2,0.55,70.0,20.0,exclude_gw1,api_unavailable_gw1,3,6000.0,fpl_recency_50_50,0.1253,0.1088,12.599,12.599,0.0,1.3755,"50% latest>=900 2025/26 (978m) + 50% mean other usable [2023/24(2908m),2024/25(2114m)]"
70,222683,Kluivert,BOU,MID,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,none,3,5194.0,fpl_recency_50_50,0.2745,0.1288,5.7502,5.7502,0.0,1.4547,"50% latest>=900 2025/26 (945m) + 50% mean other usable [2023/24(1910m),2024/25(2339m)]"
