pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Martinez (CHE) + Trafford (LEE),Martinez,CHE,5.0,Trafford,LEE,5.0,10.0,10.0,47.75,49.0,2.513,2.579,9,47.4,4.25
Leno (FUL) + A.Becker (LIV),Leno,FUL,4.5,A.Becker,LIV,5.5,10.0,10.0,47.75,50.0,2.513,2.632,10,52.6,3.75
Suzuki (AVL) + Horníček (NEW),Suzuki,AVL,5.0,Horníček,NEW,5.0,10.0,10.0,48.25,48.0,2.539,2.526,9,47.4,3.25
Kelleher (BRE) + Martinez (CHE),Kelleher,BRE,5.0,Martinez,CHE,5.0,10.0,10.0,48.25,49.0,2.539,2.579,9,47.4,3.75
Kelleher (BRE) + Lammens (MUN),Kelleher,BRE,5.0,Lammens,MUN,5.0,10.0,10.0,48.25,49.0,2.539,2.579,8,42.1,3.25
Kelleher (BRE) + Roefs (SUN),Kelleher,BRE,5.0,Roefs,SUN,5.0,10.0,10.0,48.25,49.0,2.539,2.579,10,52.6,3.75
Trafford (LEE) + Sels (NFO),Trafford,LEE,5.0,Sels,NFO,5.0,10.0,10.0,48.25,49.0,2.539,2.579,10,52.6,4.25
Martinez (CHE) + Lammens (MUN),Martinez,CHE,5.0,Lammens,MUN,5.0,10.0,10.0,48.25,50.0,2.539,2.632,8,42.1,3.75
Lammens (MUN) + Sels (NFO),Lammens,MUN,5.0,Sels,NFO,5.0,10.0,10.0,48.25,50.0,2.539,2.632,8,42.1,3.75
Horníček (NEW) + Roefs (SUN),Horníček,NEW,5.0,Roefs,SUN,5.0,10.0,10.0,48.25,50.0,2.539,2.632,9,47.4,3.75
Sels (NFO) + Roefs (SUN),Sels,NFO,5.0,Roefs,SUN,5.0,10.0,10.0,48.25,50.0,2.539,2.632,9,47.4,3.75
Kelleher (BRE) + Horníček (NEW),Kelleher,BRE,5.0,Horníček,NEW,5.0,10.0,10.0,48.75,49.0,2.566,2.579,9,47.4,3.75
