num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,ARS-BRE-IPS-MUN-MUN,ARS,BRE,IPS,MUN,MUN,2.42,2.8,2.25,2.29,2.27,2.3366,-0.161
3,2+2+1,ARS-BHA-BHA-CHE-CHE,ARS,BHA,BHA,CHE,CHE,2.33,2.6,2.75,2.55,2.65,2.5026,0.4391
4,2+1+1+1,ARS-BHA-BHA-CHE-CRY,ARS,BHA,BHA,CHE,CRY,2.33,2.6,2.75,2.48,2.61,2.4866,0.3989
4,2+1+1+1,ARS-BHA-BHA-CHE-IPS,ARS,BHA,BHA,CHE,IPS,2.3,2.6,2.75,2.55,2.65,2.4908,0.4344
4,2+1+1+1,ARS-BHA-BHA-CHE-MUN,ARS,BHA,BHA,CHE,MUN,2.42,2.8,2.5,2.42,2.46,2.4406,0.0232
3,2+2+1,ARS-BHA-BHA-CRY-CRY,ARS,BHA,BHA,CRY,CRY,2.34,2.6,2.75,2.42,2.58,2.4707,0.3789
4,2+1+1+1,ARS-BHA-BHA-CRY-IPS,ARS,BHA,BHA,CRY,IPS,2.31,2.6,2.75,2.48,2.61,2.4748,0.3808
4,2+1+1+1,ARS-BHA-BHA-CRY-MUN,ARS,BHA,BHA,CRY,MUN,2.42,2.8,2.5,2.36,2.43,2.4247,0.0368
3,2+2+1,ARS-BHA-BHA-IPS-IPS,ARS,BHA,BHA,IPS,IPS,2.28,2.6,2.75,2.55,2.65,2.479,0.4402
4,2+1+1+1,ARS-BHA-BHA-IPS-MUN,ARS,BHA,BHA,IPS,MUN,2.39,2.8,2.5,2.42,2.46,2.4288,-0.0026
3,2+2+1,ARS-BHA-BHA-MUN-MUN,ARS,BHA,BHA,MUN,MUN,2.5,2.8,2.25,2.3,2.27,2.3787,-0.1044
4,2+1+1+1,ARS-BHA-CHE-CHE-CRY,ARS,BHA,CHE,CHE,CRY,2.29,2.6,2.97,2.48,2.72,2.5251,0.4221
4,2+1+1+1,ARS-BHA-CHE-CHE-IPS,ARS,BHA,CHE,CHE,IPS,2.26,2.6,2.89,2.7,2.79,2.5479,0.4839
4,2+1+1+1,ARS-BHA-CHE-CHE-MUN,ARS,BHA,CHE,CHE,MUN,2.37,2.8,2.5,2.42,2.46,2.4193,0.0224
4,2+1+1+1,ARS-BHA-CHE-CRY-CRY,ARS,BHA,CHE,CRY,CRY,2.29,2.6,2.97,2.42,2.69,2.5092,0.3865
5,1+1+1+1+1,ARS-BHA-CHE-CRY-IPS,ARS,BHA,CHE,CRY,IPS,2.26,2.6,2.89,2.48,2.68,2.4916,0.4146
5,1+1+1+1+1,ARS-BHA-CHE-CRY-MUN,ARS,BHA,CHE,CRY,MUN,2.37,2.8,2.5,2.36,2.43,2.4033,0.0204
4,2+1+1+1,ARS-BHA-CHE-IPS-IPS,ARS,BHA,CHE,IPS,IPS,2.23,2.6,2.89,2.7,2.79,2.5361,0.5004
5,1+1+1+1+1,ARS-BHA-CHE-IPS-MUN,ARS,BHA,CHE,IPS,MUN,2.34,2.8,2.5,2.42,2.46,2.4075,0.0073
4,2+1+1+1,ARS-BHA-CHE-MUN-MUN,ARS,BHA,CHE,MUN,MUN,2.46,2.8,2.25,2.3,2.27,2.3574,-0.1448
4,2+1+1+1,ARS-BHA-CRY-CRY-IPS,ARS,BHA,CRY,CRY,IPS,2.26,2.6,2.89,2.42,2.65,2.4756,0.3655
4,2+1+1+1,ARS-BHA-CRY-CRY-MUN,ARS,BHA,CRY,CRY,MUN,2.38,2.8,2.5,2.36,2.43,2.4051,0.0385
4,2+1+1+1,ARS-BHA-CRY-IPS-IPS,ARS,BHA,CRY,IPS,IPS,2.23,2.6,2.89,2.48,2.68,2.4798,0.4177
5,1+1+1+1+1,ARS-BHA-CRY-IPS-MUN,ARS,BHA,CRY,IPS,MUN,2.35,2.8,2.5,2.36,2.43,2.3915,-0.0082
4,2+1+1+1,ARS-BHA-CRY-MUN-MUN,ARS,BHA,CRY,MUN,MUN,2.46,2.8,2.25,2.3,2.27,2.3591,-0.0931
4,2+1+1+1,ARS-BHA-IPS-IPS-MUN,ARS,BHA,IPS,IPS,MUN,2.32,2.8,2.5,2.42,2.46,2.3957,0.0026
4,2+1+1+1,ARS-BHA-IPS-MUN-MUN,ARS,BHA,IPS,MUN,MUN,2.43,2.8,2.25,2.3,2.27,2.3456,-0.1811
3,2+2+1,ARS-CHE-CHE-CRY-CRY,ARS,CHE,CHE,CRY,CRY,2.24,2.4,3.19,2.42,2.8,2.5477,0.4062
4,2+1+1+1,ARS-CHE-CHE-CRY-IPS,ARS,CHE,CHE,CRY,IPS,2.21,2.4,3.11,2.63,2.87,2.5705,0.4607
4,2+1+1+1,ARS-CHE-CHE-CRY-MUN,ARS,CHE,CHE,CRY,MUN,2.33,2.8,2.72,2.36,2.54,2.4419,0.0162
3,2+2+1,ARS-CHE-CHE-IPS-IPS,ARS,CHE,CHE,IPS,IPS,2.18,2.4,3.03,2.84,2.94,2.5933,0.5727
4,2+1+1+1,ARS-CHE-CHE-IPS-MUN,ARS,CHE,CHE,IPS,MUN,2.3,2.8,2.64,2.57,2.6,2.4647,0.0293
3,2+2+1,ARS-CHE-CHE-MUN-MUN,ARS,CHE,CHE,MUN,MUN,2.41,2.8,2.25,2.3,2.27,2.336,-0.173
4,2+1+1+1,ARS-CHE-CRY-CRY-IPS,ARS,CHE,CRY,CRY,IPS,2.22,2.4,3.11,2.42,2.76,2.5142,0.396
4,2+1+1+1,ARS-CHE-CRY-CRY-MUN,ARS,CHE,CRY,CRY,MUN,2.33,2.8,2.72,2.36,2.54,2.4436,0.0186
4,2+1+1+1,ARS-CHE-CRY-IPS-IPS,ARS,CHE,CRY,IPS,IPS,2.19,2.4,3.03,2.63,2.83,2.537,0.4744
5,1+1+1+1+1,ARS-CHE-CRY-IPS-MUN,ARS,CHE,CRY,IPS,MUN,2.3,2.8,2.64,2.36,2.5,2.4083,-0.0018
4,2+1+1+1,ARS-CHE-CRY-MUN-MUN,ARS,CHE,CRY,MUN,MUN,2.41,2.8,2.25,2.3,2.27,2.3378,-0.1369
4,2+1+1+1,ARS-CHE-IPS-IPS-MUN,ARS,CHE,IPS,IPS,MUN,2.27,2.8,2.64,2.57,2.6,2.4529,0.0354
4,2+1+1+1,ARS-CHE-IPS-MUN-MUN,ARS,CHE,IPS,MUN,MUN,2.38,2.8,2.25,2.3,2.27,2.3242,-0.1986
3,2+2+1,ARS-CRY-CRY-IPS-IPS,ARS,CRY,CRY,IPS,IPS,2.19,2.4,3.03,2.42,2.72,2.4806,0.3962
4,2+1+1+1,ARS-CRY-CRY-IPS-MUN,ARS,CRY,CRY,IPS,MUN,2.3,2.8,2.64,2.36,2.5,2.4101,-0.0128
3,2+2+1,ARS-CRY-CRY-MUN-MUN,ARS,CRY,CRY,MUN,MUN,2.42,2.8,2.25,2.3,2.27,2.3395,-0.0808
4,2+1+1+1,ARS-CRY-IPS-IPS-MUN,ARS,CRY,IPS,IPS,MUN,2.27,2.8,2.64,2.36,2.5,2.3965,-0.0092
4,2+1+1+1,ARS-CRY-IPS-MUN-MUN,ARS,CRY,IPS,MUN,MUN,2.39,2.8,2.25,2.3,2.27,2.326,-0.1761
3,2+2+1,ARS-IPS-IPS-MUN-MUN,ARS,IPS,IPS,MUN,MUN,2.36,2.8,2.25,2.3,2.27,2.3124,-0.2137
3,2+2+1,BRE-BRE-BHA-BHA-CHE,BRE,BRE,BHA,BHA,CHE,2.55,2.6,3.18,2.5,2.84,2.7093,0.8948
3,2+2+1,BRE-BRE-BHA-BHA-CRY,BRE,BRE,BHA,BHA,CRY,2.56,2.6,3.18,2.43,2.81,2.6934,0.9529
3,2+2+1,BRE-BRE-BHA-BHA-IPS,BRE,BRE,BHA,BHA,IPS,2.53,2.6,3.18,2.5,2.84,2.6976,0.8105
3,2+2+1,BRE-BRE-BHA-BHA-MUN,BRE,BRE,BHA,BHA,MUN,2.64,2.8,2.94,2.37,2.65,2.6474,0.6059
3,2+2+1,BRE-BRE-BHA-CHE-CHE,BRE,BRE,BHA,CHE,CHE,2.51,2.6,3.18,2.5,2.84,2.688,0.8553
4,2+1+1+1,BRE-BRE-BHA-CHE-CRY,BRE,BRE,BHA,CHE,CRY,2.51,2.6,3.18,2.43,2.81,2.672,0.8978
4,2+1+1+1,BRE-BRE-BHA-CHE-IPS,BRE,BRE,BHA,CHE,IPS,2.48,2.6,3.18,2.5,2.84,2.6762,0.7817
