horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sels (NFO),Martinez,AVL,5.0,Sels,NFO,5.0,10.0,19,117.87,6.2,5.762,78.09,76.84,2.47,89.5,63.2,-0.0872,0.4913,6.7
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sels (NFO),Martinez,AVL,5.0,Sels,NFO,5.0,10.0,38,234.04,6.16,5.717,76.54,74.9,2.55,89.5,55.3,-0.0748,0.4999,12.99
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Roefs (SUN),Martinez,AVL,5.0,Roefs,SUN,5.0,10.0,3,25.12,8.37,7.931,83.93,59.83,2.25,33.3,33.3,-0.866,0.4323,1.56
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Roefs (SUN),Martinez,AVL,5.0,Roefs,SUN,5.0,10.0,16,98.35,6.15,5.706,74.71,70.82,2.62,87.5,50.0,0.1126,0.506,5.4
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Roefs (SUN),Martinez,AVL,5.0,Roefs,SUN,5.0,10.0,19,117.53,6.19,5.744,77.01,74.93,2.53,89.5,57.9,0.0041,0.4944,6.67
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Roefs (SUN),Martinez,AVL,5.0,Roefs,SUN,5.0,10.0,38,232.94,6.13,5.688,75.0,72.3,2.61,89.5,50.0,0.1087,0.5046,12.78
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kinsky (TOT),Martinez,AVL,5.0,Kinsky,TOT,4.5,9.5,3,23.73,7.91,7.615,81.6,54.0,2.5,33.3,33.3,-0.866,0.4997,1.14
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kinsky (TOT),Martinez,AVL,5.0,Kinsky,TOT,4.5,9.5,16,97.02,6.06,5.769,75.29,69.53,2.62,87.5,50.0,0.2848,0.5273,5.09
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kinsky (TOT),Martinez,AVL,5.0,Kinsky,TOT,4.5,9.5,19,115.18,6.06,5.768,76.45,72.52,2.58,89.5,52.6,0.1616,0.5229,6.01
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kinsky (TOT),Martinez,AVL,5.0,Kinsky,TOT,4.5,9.5,38,229.75,6.05,5.752,75.16,69.99,2.66,89.5,44.7,0.2533,0.5341,11.76
