player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note,price,club_id
269,184349,Sessegnon,FUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1816.0,prior_season_seed,0.0793,0.0892,10.804,10.804,0.0,1.4372,Prior-Season Seed 2025/26 (1816m),4.5,10
277,108416,Egan,HUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.05,0.03,8.5,8.5,0.0,1.375,"Prior Championship / Sheff Utd career stats: 0.05 xG, 0.03 xA, 8.50 defcon; dest GC HUL=1.375",4.0,11
279,146426,Ajayi,HUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.04,0.03,8.5,8.5,0.0,1.375,External best-guess: Ajayi CHA/PL CB; CBIT-style Defcon proxy; dest GC HUL=1.375,4.0,11
280,193278,Coyle,HUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.01,0.091,6.18,6.18,0.0,1.375,CHA 2025/26 Hull 3187m; xG/xA/defcon FotMob Opta; dest GC HUL=1.375,4.0,11
282,232351,Giles,HUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.025,0.22,6.5,6.5,0.0,1.375,CHA 2025/26 Hull / Luton PL: key crossing & set piece creator; dest GC HUL=1.375,4.0,11
259,219924,Diop,IPS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.05,0.02,7.9,7.9,0.0,1.375,"Fulham / West Ham PL CB (812m in 25/26, 1720m in 24/25); confirmed £8.5m signing; dest GC IPS=1.375",4.0,12
304,216616,O'Shea,IPS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.06,0.07,8.2,8.2,0.0,1.375,Burnley PL / Ipswich starting CB/RB (2880m across senior leagues); dest GC IPS=1.375,4.0,12
305,455084,Davis,IPS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.04,0.32,6.8,6.8,0.0,1.375,"Ipswich CHA (18 assists, 3012m) / PL elite set-piece creator; dest GC IPS=1.375",4.0,12
306,449429,Greaves,IPS,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.07,0.05,9.1,9.1,0.0,1.375,Hull / Ipswich dominant aerial & tackling CB (2980m); dest GC IPS=1.375,4.0,12
327,434752,Bijol,LEE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1888.0,prior_season_seed,0.0429,0.0358,10.4396,10.4396,0.0,1.2394,Prior-Season Seed 2025/26 (1888m),5.0,13
329,214225,Rodon,LEE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2952.0,prior_season_seed,0.0427,0.0171,8.3537,8.3537,0.0,1.6159,Prior-Season Seed 2025/26 (2952m),4.5,13
330,226182,Bogle,LEE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2795.0,prior_season_seed,0.067,0.1001,5.7317,5.7317,0.0,1.4168,Prior-Season Seed 2025/26 (2795m),4.5,13
332,220627,Justin,LEE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1893.0,prior_season_seed,0.087,0.0552,8.7005,8.7005,0.0,1.2361,Prior-Season Seed 2025/26 (1893m),4.5,13
334,522047,Muharemović,LEE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.1,0.14,11.56,11.56,0.0,1.4737,Sassuolo Serie A 2025/26; 2835 min; FootyStats xG/xA; CBIT Tkl+Int+Clr+Blk; dest GC LEE=1.474,5.0,13
356,97032,Virgil,LIV,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3420.0,prior_season_seed,0.0992,0.0379,9.2632,9.2632,0.0,1.3947,Prior-Season Seed 2025/26 (3420m),6.5,14
357,216094,Frimpong,LIV,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1032.0,prior_season_seed,0.0436,0.1352,2.6163,2.6163,0.0,1.1337,Prior-Season Seed 2025/26 (1032m),5.5,14
358,544877,Kerkez,LIV,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2251.0,prior_season_seed,0.06,0.0276,5.3576,5.3576,0.0,1.4793,Prior-Season Seed 2025/26 (2251m),5.5,14
362,606702,Jacquet,LIV,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.04,0.11,8.39,8.39,0.0,1.3947,Rennes Ligue 1 2025/26; 1673 min; FootyStats xG/xA; CBIT Tkl+Int+Clr+Blk; dest GC LIV=1.395,5.0,14
387,472769,O'Reilly,MCI,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2643.0,prior_season_seed,0.2084,0.0909,5.857,5.857,0.0,0.8513,Prior-Season Seed 2025/26 (2643m),6.5,15
388,209036,Guéhi,MCI,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3150.0,prior_season_seed,0.1157,0.0677,7.9429,7.9429,0.0,1.0,Prior-Season Seed 2025/26 (3150m),6.0,15
389,465351,Matheus N.,MCI,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2861.0,prior_season_seed,0.0107,0.0702,6.1342,6.1342,0.0,0.8808,Prior-Season Seed 2025/26 (2861m),6.0,15
390,171314,Rúben,MCI,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2139.0,prior_season_seed,0.024,0.0273,7.0266,7.0266,0.0,0.9257,Prior-Season Seed 2025/26 (2139m),5.5,15
391,477424,Gvardiol,MCI,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1370.0,prior_season_seed,0.1478,0.046,6.7664,6.7664,0.0,0.854,Prior-Season Seed 2025/26 (1370m),5.5,15
393,578153,Khusanov,MCI,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1427.0,prior_season_seed,0.041,0.0763,7.7575,7.7575,0.0,0.8199,Prior-Season Seed 2025/26 (1427m),5.5,15
417,216051,Dalot,MUN,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2609.0,prior_season_seed,0.0666,0.0887,6.2093,6.2093,0.0,1.3798,Prior-Season Seed 2025/26 (2609m),5.0,16
418,95658,Maguire,MUN,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,1649.0,prior_season_seed,0.0611,0.0273,8.2414,8.2414,0.0,1.0916,Prior-Season Seed 2025/26 (1649m),5.0,16
421,606745,Heaven,MUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,920.0,prior_season_seed,0.0333,0.0176,9.0978,9.0978,0.0,1.4674,Prior-Season Seed 2025/26 (920m),4.5,16
423,106760,Shaw,MUN,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3220.0,prior_season_seed,0.0201,0.0553,6.2609,6.2609,0.0,1.2578,Prior-Season Seed 2025/26 (3220m),4.5,16
445,465642,Thiaw,NEW,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2963.0,prior_season_seed,0.1458,0.0292,8.8694,8.8694,0.0,1.5795,Prior-Season Seed 2025/26 (2963m),5.0,17
447,220237,Botman,NEW,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1834.0,prior_season_seed,0.0849,0.0422,10.5998,10.5998,0.0,1.325,Prior-Season Seed 2025/26 (1834m),5.0,17
448,78916,Burn,NEW,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2195.0,prior_season_seed,0.0443,0.0148,9.2255,9.2255,0.0,1.4761,Prior-Season Seed 2025/26 (2195m),5.0,17
449,487838,Hall,NEW,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2176.0,prior_season_seed,0.0418,0.115,7.1553,7.1553,0.0,1.6131,Prior-Season Seed 2025/26 (2176m),5.0,17
450,441191,Livramento,NEW,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,,1,1326.0,prior_season_seed,0.0088,0.0604,4.6154,4.6154,0.0,0.9502,Prior-Season Seed 2025/26 (1326m),5.0,17
469,215136,N.Williams,NFO,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3203.0,prior_season_seed,0.0565,0.1116,6.9404,6.9404,0.0,1.3487,Prior-Season Seed 2025/26 (3203m),5.0,18
471,227444,Milenković,NFO,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3375.0,prior_season_seed,0.0221,0.0181,8.2933,8.2933,0.0,1.36,Prior-Season Seed 2025/26 (3375m),5.5,18
472,575476,Murillo,NFO,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,watch,,1,2130.0,prior_season_seed,0.0308,0.0199,9.4225,9.4225,0.0,1.2254,Prior-Season Seed 2025/26 (2130m),5.5,18
473,159506,Aina,NFO,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1587.0,prior_season_seed,0.0233,0.0476,7.3724,7.3724,0.0,1.0775,Prior-Season Seed 2025/26 (1587m),4.5,18
