num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,LIV-MUN-NFO-NFO-SUN,LIV,MUN,NFO,NFO,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
4,2+1+1+1,MCI-MUN-NFO-NFO-SUN,MCI,MUN,NFO,NFO,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,MUN-MUN-NFO-NFO-TOT,MUN,MUN,NFO,NFO,TOT,2.2,3.0,2.0,3.0,2.5,2.3636,-0.0732
3,2+2+1,NFO-NFO-TOT-SUN-SUN,NFO,NFO,TOT,SUN,SUN,2.2,3.0,2.0,3.0,2.5,2.3636,-0.0732
4,2+1+1+1,ARS-BRE-MUN-MUN-NFO,ARS,BRE,MUN,MUN,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
4,2+1+1+1,ARS-BRE-NFO-SUN-SUN,ARS,BRE,NFO,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
4,2+1+1+1,ARS-LIV-MUN-MUN-NFO,ARS,LIV,MUN,MUN,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
4,2+1+1+1,ARS-LIV-NFO-SUN-SUN,ARS,LIV,NFO,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
4,2+1+1+1,ARS-MCI-MUN-MUN-NFO,ARS,MCI,MUN,MUN,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
4,2+1+1+1,ARS-MCI-NFO-SUN-SUN,ARS,MCI,NFO,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
4,2+1+1+1,BRE-IPS-MUN-MUN-NFO,BRE,IPS,MUN,MUN,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
3,3+1+1,CRY-MUN-MUN-MUN-NFO,CRY,MUN,MUN,MUN,NFO,2.2,3.0,2.0,3.0,2.5,2.3636,-0.0634
3,3+1+1,CRY-NFO-SUN-SUN-SUN,CRY,NFO,SUN,SUN,SUN,2.2,3.0,2.0,3.0,2.5,2.3636,-0.0634
4,2+1+1+1,IPS-LIV-MUN-MUN-NFO,IPS,LIV,MUN,MUN,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.0634
