tier,tier_id,lineup_summary,clubs,total_price,bb_rqi,tot_effective_xp,gw1_xp_5def,gw2_3_xp_6def,gw1_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Mykolenko (EVE £4.5m) + Bogle (LEE £4.5m) + Jacquet (LIV £5.0m) + O'Nien (SUN £4.0m),AVL-EVE-LEE-LIV-SUN,22.5,54.689998626708984,52.22,21.43,30.79,2.8,2.5,2.6364,-0.1866
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),AVL-CHE-CRY-SUN-TOT,22.5,49.91999816894531,48.93,20.67,28.27,2.8,2.33,2.5455,-0.1903
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),AVL-CHE-CRY-SUN-TOT,22.5,50.08000183105469,49.02,20.69,28.34,2.8,2.33,2.5455,-0.1903
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),BHA-LIV-MCI-SUN-TOT,24.0,68.44000244140625,62.09,26.1,35.99,2.8,2.17,2.4545,-0.15
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Hato (CHE £4.5m) + O'Brien (EVE £5.0m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),BHA-CHE-EVE-MUN-SUN,22.5,49.290000915527344,46.82,20.59,26.24,2.6,2.33,2.4545,0.2255
Band 2: Mid-Value (£23.0m-£24.0m),2,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Robertson (TOT £4.5m),ARS-BHA-IPS-LIV-TOT,24.0,68.0199966430664,61.2,27.04,34.16,2.6,2.67,2.6364,-0.15
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Jacquet (LIV £5.0m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),ARS-LIV-NFO-SUN-TOT,24.5,68.75,58.49,27.17,31.32,2.4,2.5,2.4545,-0.15
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),BHA-LIV-MCI-SUN-TOT,25.0,66.55999755859375,64.15,27.13,37.02,2.8,2.17,2.4545,-0.15
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Jacquet (LIV £5.0m) + N.Williams (NFO £5.0m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),ARS-LIV-NFO-SUN-TOT,24.5,68.91000366210938,58.58,27.19,31.39,2.4,2.5,2.4545,-0.15
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),BHA-LIV-MCI-MUN-SUN,24.5,70.70999908447266,60.82,25.98,34.84,2.6,2.17,2.3636,-0.2
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Greaves (IPS £4.0m) + Gvardiol (MCI £5.5m) + Shaw (MUN £4.5m),ARS-BHA-IPS-MCI-MUN,24.5,70.05000305175781,59.87,27.31,32.55,2.4,2.67,2.5455,-0.0
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Shaw (MUN £4.5m) + Hume (SUN £4.5m),BHA-LIV-MCI-MUN-SUN,25.0,69.77999877929688,61.02,26.08,34.94,2.6,2.17,2.3636,-0.2
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Greaves (IPS £4.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m),ARS-BHA-IPS-MCI-MUN,25.0,69.3499984741211,62.27,28.16,34.11,2.4,2.67,2.5455,-0.0
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Shaw (MUN £4.5m) + Ballard (SUN £5.0m),BHA-LIV-MCI-MUN-SUN,25.5,68.83999633789062,62.88,27.01,35.87,2.6,2.17,2.3636,-0.2
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Hato (CHE £4.5m) + Canvot (CRY £5.0m) + Greaves (IPS £4.0m) + Shaw (MUN £4.5m),AVL-CHE-CRY-IPS-MUN,22.5,49.560001373291016,48.3,21.17,27.14,2.6,2.67,2.6364,-0.0104
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Shaw (MUN £4.5m) + Mukiele (SUN £5.5m),BHA-LIV-MCI-MUN-SUN,26.0,67.9000015258789,62.1,26.62,35.48,2.6,2.17,2.3636,-0.2
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Hato (CHE £4.5m) + Canvot (CRY £5.0m) + Greaves (IPS £4.0m) + Jair Cunha (NFO £4.5m),AVL-CHE-CRY-IPS-NFO,22.5,46.41999816894531,47.91,21.52,26.39,2.6,3.0,2.8182,0.1722
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Hato (CHE £4.5m) + O'Brien (EVE £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),BHA-CHE-EVE-NFO-SUN,22.5,48.31999969482422,46.95,20.94,26.01,2.6,2.5,2.5455,0.0348
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),BHA-LIV-MCI-MUN-SUN,25.0,69.77999877929688,62.52,26.82,35.7,2.6,2.17,2.3636,-0.2
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Hato (CHE £4.5m) + Canvot (CRY £5.0m) + Greaves (IPS £4.0m) + Robertson (TOT £4.5m),AVL-CHE-CRY-IPS-TOT,22.5,46.91999816894531,48.62,20.67,27.95,2.8,2.67,2.7273,-0.1793
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Jacquet (LIV £5.0m) + Guéhi (MCI £6.0m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m),BHA-LIV-MCI-MUN-SUN,25.5,68.83999633789062,62.72,26.92,35.8,2.6,2.17,2.3636,-0.2
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Greaves (IPS £4.0m) + Guéhi (MCI £6.0m) + Maguire (MUN £5.0m),ARS-BHA-IPS-MCI-MUN,25.5,68.41000366210938,60.38,27.55,32.84,2.4,2.67,2.5455,-0.0
