pre_clubs,pre_unique,pre_pattern,pre_sun,gw13_eff_fdr,gw1_avg_fdr,gw23_rot_fdr,pre_corr,n_swaps,out_clubs,in_clubs,post_clubs,post_unique,post_pattern,post_sun,gw419_rot_fdr,gw419_no_diff_pct,gw419_all_easy_pct,post_corr,path_eff_fdr,scenario_eligible,scenario_rank
BRE-BHA-EVE-IPS-MCI,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"BHA,BRE","CHE,COV",CHE-COV-EVE-IPS-MCI,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.0363,2.508508,False,
BHA-EVE-MCI-MCI-NFO,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"MCI,MCI","COV,LIV",BHA-COV-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1308,2.508508,False,
AVL-EVE-LEE-MUN-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0598,2,"EVE,MUN","FUL,NFO",AVL-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,0.0,-0.2008,2.508508,False,
AVL-EVE-LEE-TOT-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.0598,2,"EVE,SUN","FUL,NFO",AVL-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,0.0,-0.2008,2.508508,False,
BHA-EVE-LEE-MUN-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0598,2,"BHA,MUN","COV,FUL",COV-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1706,2.508508,False,
BHA-EVE-LEE-TOT-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.0598,2,"BHA,SUN","COV,FUL",COV-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1706,2.508508,False,
BRE-BHA-BHA-CHE-NFO,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0504,2,"BHA,BRE","BOU,NFO",BOU-BHA-CHE-NFO-NFO,4,2+1+1+1,0,2.4792,100.0,18.8,-0.1158,2.508508,False,
CRY-LEE-LIV-MCI-MUN,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.05,2,"LEE,MUN","AVL,NEW",AVL-CRY-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1535,2.508508,False,
CRY-LEE-LIV-MCI-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.05,2,"LEE,SUN","AVL,NEW",AVL-CRY-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1535,2.508508,False,
EVE-LEE-LIV-MUN-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.05,2,"LIV,MUN","COV,FUL",COV-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1706,2.508508,False,
EVE-LEE-LIV-TOT-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.05,2,"LIV,SUN","COV,FUL",COV-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1706,2.508508,False,
BHA-BHA-LIV-NFO-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0366,2,"BHA,TOT","BOU,NEW",BOU-BHA-LIV-NEW-NFO,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1525,2.508508,False,
BHA-BHA-MCI-NFO-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0366,2,"BHA,TOT","LIV,NEW",BHA-LIV-MCI-NEW-NFO,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1303,2.508508,False,
BHA-CRY-LEE-LIV-MUN,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0134,2,"CRY,MUN","AVL,NFO",AVL-BHA-LEE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1076,2.508508,False,
BHA-CRY-LEE-LIV-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.0134,2,"CRY,LEE","COV,MCI",BHA-COV-LIV-MCI-SUN,5,1+1+1+1+1,1,2.4792,100.0,25.0,-0.1292,2.508508,False,
BHA-CRY-LEE-MCI-MUN,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0134,2,"CRY,MUN","COV,FUL",BHA-COV-FUL-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.149,2.508508,False,
BHA-CRY-LEE-MCI-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.0134,2,"CRY,SUN","COV,FUL",BHA-COV-FUL-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.149,2.508508,False,
