set_id,set_label,clubs,archetype,is_distinct_clubs,combined_cost,total_mod_fdr,total_base_fdr,avg_def_mod_fdr,avg_def_base_fdr,player1,player2,player3,player4,player5
31722,Colwill (CHE) + Aina (NFO) + Thomas (COV) + Ajayi (HUL) + Diop (IPS),CHE-NFO-COV-HUL-IPS,Other,True,21.5,142.75,146.0,2.504,2.561,"Colwill (CHE, £5.0m)","Aina (NFO, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
31795,Colwill (CHE) + Heaven (MUN) + Thomas (COV) + Diop (IPS) + O'Nien (SUN),CHE-MUN-COV-IPS-SUN,Other,True,21.5,142.75,146.0,2.504,2.561,"Colwill (CHE, £5.0m)","Heaven (MUN, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
34212,Jacquet (LIV) + Heaven (MUN) + Thomas (COV) + van Ewijk (COV) + O'Nien (SUN),LIV-MUN-COV-COV-SUN,Other,False,21.5,142.75,146.0,2.504,2.561,"Jacquet (LIV, £5.0m)","Heaven (MUN, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)","O'Nien (SUN, £4.0m)"
34445,Mitchell (CRY) + Mykolenko (EVE) + Robertson (TOT) + Thomas (COV) + O'Nien (SUN),CRY-EVE-TOT-COV-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Mitchell (CRY, £4.5m)","Mykolenko (EVE, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
34511,Mitchell (CRY) + Robinson (FUL) + Robertson (TOT) + Thomas (COV) + O'Nien (SUN),CRY-FUL-TOT-COV-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Mitchell (CRY, £4.5m)","Robinson (FUL, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
35094,Mykolenko (EVE) + Robertson (TOT) + Hume (SUN) + Thomas (COV) + O'Nien (SUN),EVE-TOT-SUN-COV-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"Mykolenko (EVE, £4.5m)","Robertson (TOT, £4.5m)","Hume (SUN, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
35249,Robinson (FUL) + Heaven (MUN) + Robertson (TOT) + Thomas (COV) + Diop (IPS),FUL-MUN-TOT-COV-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Robinson (FUL, £4.5m)","Heaven (MUN, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
35457,Jacquet (LIV) + Robertson (TOT) + Thomas (COV) + Ajayi (HUL) + Diop (IPS),LIV-TOT-COV-HUL-IPS,Other,True,21.5,142.75,146.0,2.504,2.561,"Jacquet (LIV, £5.0m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
37473,Mitchell (CRY) + Rodon (LEE) + Robertson (TOT) + Diop (IPS) + O'Nien (SUN),CRY-LEE-TOT-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Mitchell (CRY, £4.5m)","Rodon (LEE, £4.5m)","Robertson (TOT, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
37553,Mitchell (CRY) + Aina (NFO) + Robertson (TOT) + Diop (IPS) + O'Nien (SUN),CRY-NFO-TOT-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Mitchell (CRY, £4.5m)","Aina (NFO, £4.5m)","Robertson (TOT, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
38612,Mykolenko (EVE) + Aina (NFO) + Robertson (TOT) + Ajayi (HUL) + Diop (IPS),EVE-NFO-TOT-HUL-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Mykolenko (EVE, £4.5m)","Aina (NFO, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
41172,Rodon (LEE) + Robertson (TOT) + Hume (SUN) + Diop (IPS) + O'Nien (SUN),LEE-TOT-SUN-IPS-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"Rodon (LEE, £4.5m)","Robertson (TOT, £4.5m)","Hume (SUN, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
1781,Konsa (ARS) + Cash (AVL) + Smith (BOU) + Thomas (COV) + Diop (IPS),ARS-AVL-BOU-COV-IPS,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Cash (AVL, £4.5m)","Smith (BOU, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
2299,Konsa (ARS) + Cash (AVL) + Heaven (MUN) + Thomas (COV) + van Ewijk (COV),ARS-AVL-MUN-COV-COV,Pure Budget,False,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Cash (AVL, £4.5m)","Heaven (MUN, £4.5m)","Thomas (COV, £4.0m)","van Ewijk (COV, £4.0m)"
2351,Konsa (ARS) + Cash (AVL) + Rodon (LEE) + Thomas (COV) + Diop (IPS),ARS-AVL-LEE-COV-IPS,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Cash (AVL, £4.5m)","Rodon (LEE, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
3263,Konsa (ARS) + Smith (BOU) + F.Kadıoğlu (BHA) + Ajayi (HUL) + O'Nien (SUN),ARS-BOU-BHA-HUL-SUN,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Smith (BOU, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
3478,Konsa (ARS) + Smith (BOU) + Robinson (FUL) + Thomas (COV) + O'Nien (SUN),ARS-BOU-FUL-COV-SUN,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Smith (BOU, £4.5m)","Robinson (FUL, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
3493,Konsa (ARS) + Smith (BOU) + Heaven (MUN) + Thomas (COV) + Diop (IPS),ARS-BOU-MUN-COV-IPS,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Smith (BOU, £4.5m)","Heaven (MUN, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
3495,Konsa (ARS) + Smith (BOU) + Aina (NFO) + Thomas (COV) + Diop (IPS),ARS-BOU-NFO-COV-IPS,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Smith (BOU, £4.5m)","Aina (NFO, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
3780,Konsa (ARS) + Smith (BOU) + Rodon (LEE) + Ajayi (HUL) + Diop (IPS),ARS-BOU-LEE-HUL-IPS,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Smith (BOU, £4.5m)","Rodon (LEE, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
3786,Konsa (ARS) + Smith (BOU) + Robertson (TOT) + Ajayi (HUL) + Diop (IPS),ARS-BOU-TOT-HUL-IPS,Pure Budget,True,21.5,142.75,147.0,2.504,2.579,"Konsa (ARS, £4.5m)","Smith (BOU, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","Diop (IPS, £4.0m)"
